Id,日期,区域,调温工时,拆装工时,合熔工时,取棒工时,首投化料效率,复投化料效率,成活率,断线率,整棒率,成晶率,引晶长度,引晶平均拉速,放肩时间,放肩长度,加料效率,复投次数,稳定时间,引晶开始CCD亮度值,引晶结束CCD亮度值,熔接CCD亮度值,稳定CCD亮度值,引晶后50长拉速,进等功率,等径液口距,放肩结束功率,放肩降温量,前天产量,昨天产量,今天产量,投料量,引晶开始功率,引晶结束功率,引晶开始液口距,引晶结束液口距
572,2022/9/3,A1,136.8,473.6,18.9,97.2,73.5685,74.65,80.6452,33.3333,60.7143,78.37,191.83,4.46,127.5,137.66,74.57,22,35.58,57.59,59.01,67.98,60.14,34.14,50.86,19.45,49,6.69,4419.85,6818.65,5360.51,6840,59.35,57.75,32.4,30.96
576,2022/9/4,A1,147.2,414.2,42.9,102.7,64.1469,75.2,77.7778,39.5833,48.4848,104.82,191.58,4.57,128.9,134.06,73.48,22,37.29,58.49,60.17,69.04,61.42,35.28,50.87,19.26,48,6.63,6818.65,5360.51,7641.36,7290,58.06,58.54,31.69,32.69
580,2022/9/5,A1,131.7,436.4,141.1,92.3,55.1056,80.11,100,39.5833,38.7097,114.704,189.02,4.36,134.8,136.74,75.11,16,39.7,58.46,59.21,67.08,61.25,4.16,51.41,19.48,48,6.61,5360.51,7641.36,6171.05,5380,58.33,58.29,32.52,31.92
584,2022/9/6,A1,119.4,395.1,96.4,90.9,66.7068,77.11,81.8182,39.5833,43.3333,84.1971,199.27,4.52,128.5,137.48,73.54,21,38.46,57.82,59.56,69.12,60.68,32.8,50.92,19.48,58.5,7.97,7641.36,6171.05,5253.9,6240,58.53,59.07,31.28,32.73
588,2022/9/7,A1,136.9,422,68.4,92.9,69.5803,77.71,80.5556,45.8333,41.3793,120.354,193.71,4.71,123,164.83,75.51,19,38.12,57.88,59.01,69.09,61.13,4.63,51.19,19.45,55.75,1.95,6171.05,5253.9,7317.54,6080,58.88,59.02,32.23,31.66
592,2022/9/8,A1,144.4,281.9,59.7,95.5,68.7572,71.25,92.1053,54.1667,23.5294,50.0256,187.98,4.59,127.9,134.4,70.83,29,36.56,57.63,59.55,69.2,60.63,4.07,52.09,19.67,50.02,6.91,5253.9,7317.54,4287.19,8570,60.03,59.65,32.9,33.77
596,2022/9/9,A1,131.6,400.5,102.3,90.7,63.4706,74.27,87.5,31.25,37.5,143.437,190.11,4.76,128.4,131.43,73.02,14,37.46,57.84,60.01,68.7,60.84,4.48,51.3,19.39,49.7,6.78,7317.54,4287.19,6712.87,4680,59.13,58.31,32.28,29.4
600,2022/9/10,A1,138.8,241.5,83.5,94,67.9784,74.05,88.2353,45.8333,37.8378,71.344,191.14,4.46,130.2,136.26,73.51,25,35.88,58.23,58.58,69,60.63,4.37,51.36,19.52,60.05,6.77,4287.19,6712.87,6064.24,8500,58.62,59.4,30.72,31.77
604,2022/9/11,A1,141.8,145.6,65,90.1,66.5418,74.25,74.2857,43.75,27.2727,119.249,188.26,4.51,128.5,133,73.02,14,41.06,57.36,58.68,68.56,60.39,27.67,51.06,19.41,54.43,6.64,6712.87,6064.24,6069.78,5090,58.67,58.33,31.01,30.98
608,2022/9/12,A1,133,262,47.2,94.8,68.0716,74.07,80.6452,33.3333,46.6667,65.2147,195.19,4.66,132.1,132.79,73.51,24,35.55,59.84,61.47,70.27,62.5,4.38,51.62,19.66,50.08,6.99,6064.24,6069.78,5236.74,8030,59.45,59.17,29.95,29.05
612,2022/9/13,A1,149.2,335,24.5,94,67.4274,75.81,73.8095,50,27.5862,92.9619,185.45,4.48,127.9,131.55,74.6,22,42.28,58.05,59.2,69.25,60.85,4.1,51.48,19.63,54.47,6.59,6069.78,5236.74,6907.07,7430,57.37,58.7,30.42,30.95
616,2022/9/14,A1,127.8,279.3,62.7,93.1,65.419,76.91,87.0968,37.5,39.2857,64.8488,193.67,4.55,136.7,135.56,75.1,23,36.85,58.53,61.3,69.45,61.83,4.28,50.08,19.2,64.5,9.24,5236.74,6907.07,4584.81,7070,58.92,58.16,29.89,28.97
