Id,等径长度
7569,-74137.18
7570,-293952.94
7571,-50507.68
7572,-53627.555
7573,-312583.2
7574,-5131.8687
7575,23194.162
7576,-202019.69
7577,-38962.43
7578,31042.068
7579,-82736.055
7580,93179.57
7581,-219646.06
7582,91345.76
7583,-170435.56
7584,-6541.431
7585,-5783.431
7586,4265.819
7587,-5766.9
7588,12505.568
7589,28726.943
7590,-172906.44
7591,-115792.055
7592,-78381.93
7593,139857.06
7594,-2083.1187
7595,-146347.19
7596,-110586.96
7597,82810.82
7598,177466.19
7599,-57964.742
7600,81514.82
7601,22850.818
7602,-240709.94
7603,41600.508
7604,99196.945
7605,-3346.4312
7606,-18645.182
7607,-17965.182
7608,182957.31
7609,-94176.43
7610,-285441.44
7611,-57375.43
7612,105660.07
7613,28384.318
7614,64135.195
7615,248990.31
7616,-296948.94
7617,150253.81
7618,252878.56
7619,-84380.555
7620,-109429.43
7621,-49483.867
7622,87037.445
7623,-85778.18
7624,18129.693
7625,254033.56
7626,-2187.3062
7627,6806.569
7628,-263782.7
7629,25480.256
7630,564.5688
7631,-29864.557
7632,-98567.93
7633,60527.57
7634,-15981.932
7635,180293.19
7636,100432.695
7637,153322.81
7638,98022.82
7639,-4748.181
7640,-94350.68
7641,52493.883
7642,-123812.93
7643,10346.818
7644,-18024.807
7645,6519.819
7646,3346.4438
7647,-216524.06
7648,-86962.555
7649,-89852.805
7650,120417.57
7651,-2555.8062
7652,-39031.43
7653,-118319.805
7654,186706.81
7655,-93069.24
7656,-75015.68
7657,-71981.68
7658,66097.32
7659,-274940.94
7660,-66337.12
7661,143251.31
7662,266839.3
7663,-201469.94
7664,-18376.182
7665,200080.56
7666,85417.82
7667,-91720.43
7668,-295641.44
7669,-66283.93
7670,-186714.19
7671,-278705.3
7672,-29111.307
7673,-169841.19
7674,27345.256
7675,-190565.44
7676,-135444.94
7677,125583.07
7678,-48722.805
7679,7718.819
7680,-38992.43
7681,-346920.2
7682,-823.4312
7683,155693.31
7684,-155276.81
7685,-74691.805
7686,-75883.93
7687,-135316.44
7688,-56395.68
7689,193180.81
7690,52671.945
7691,-63816.617
7692,180993.69
7693,128349.445
7694,-202731.44
7695,-24593.244
7696,66055.82
7697,-285534.5
7698,87093.82
7699,-145095.44
7700,-306126.44
7701,-50433.93
7702,179839.56
7703,-68376.93
7704,84489.57
7705,28156.068
7706,-294973.8
7707,274.0688
7708,-168816.81
7709,-191228.31
7710,-44036.68
7711,-1909.6813
7712,297186.3
7713,-105703.68
7714,-105087.305
7715,66358.57
7716,-129891.68
7717,111956.32
7718,-288696.94
7719,-260524.94
7720,-5807.306
7721,-250532.69
7722,-61189.992
7723,-52576.867
7724,-111270.055
7725,90632.38
7726,37064.6
7727,-250844.19
7728,-133971.12
7729,-372289.7
7730,-177413.44
7731,-34715.93
7732,-76941.305
7733,-243811.94
7734,-108024.43
7735,254670.06
7736,97755.695
7737,-68587.305
7738,31331.568
7739,92742.695
7740,49798.07
7741,-73236.055
7742,-3128.1812
7743,-87382.43
7744,66786.82
7745,-65499.117
7746,25702.568
7747,-53704.68
7748,59245.82
7749,-114823.12
7750,-63486.555
7752,92750.51
7753,122660.13
7754,-44821.18
7756,86445.57
7757,1126191.6
7758,9856.881
7759,-99369.15
7760,-185989.75
7761,-148612.94
7762,175089.06
7763,7958.694
7765,-93666.68
7766,205876.56
7767,54518.727
7768,-61348.93
7769,-6075.556
7770,-242237.19
7771,-23015.307
7772,-95717.43
7773,144163.56
7774,-12800.682
7775,83688.57
7776,-59938.43
7777,-181105.44
7778,-61599.492
7779,-941.1812
7780,161415.06
7782,-48091.93
7783,87503.695
7784,-68917.43
7785,109079.445
7786,-71291.93
7787,-72157.93
7788,-95181.93
7789,-99276.555
7790,-107350.43
7791,-38539.43
7792,-19923.807
7793,18750.318
7794,-96730.43
7795,-42950.43
7796,-30191.557
7797,-64432.68
7798,-157854.94
7799,-15952.432
7800,-313094.2
7801,-25438.682
7992,216417.44
7993,-199018.81
7994,-45332.93
7995,-3260.4937
7996,60604.57
7997,-128424.93
7998,-283898.56
7999,225149.56
8000,-204855.31
8001,-72827.68
8002,-270038.2
8003,-7396.431
8004,-62492.867
8005,160952.19
8006,-63929.68
8007,61943.57
8008,-10576.182
8009,52760.695
8010,-106457.93
8011,116628.945
8012,276113.06
8013,-70554.68
8015,-85007.74
8016,39958.57
8017,-32997.43
8018,309616.56
8019,136769.44
8020,-20994.682
8021,18244.256
8022,132644.06
8023,-159548.94
8024,-64140.68
8025,28837.068
8026,162750.56
8027,45181.133
8028,-107004.93
8029,19660.818
8030,-155677.75
8031,-549553.94
8032,-96905.74
8033,-40990.18
8034,238650.81
8035,-307218.94
8036,34141.57
8037,-33089.21
8038,-5055.431
8039,-61270.242
8040,28647.818
8041,-169906.44
8043,120155.445
8044,48469.695
8045,163496.81
8046,-38770.68
8047,-236346.5
8048,202160.06
8049,213734.56
8050,-255710.94
8051,380301.56
8052,131551.19
8053,-49426.055
8054,148812.56
8055,-34525.43
8056,-101130.805
8057,-117371.93
8058,219527.06
8059,-172738.44
8060,-148107.81
8061,-298255.2
8062,-39046.742
8063,-86700.18
8064,228598.06
8065,-446457.94
8066,-81400.18
8067,46617.07
8068,-96127.93
8069,-35513.617
8070,62114.32
8071,-8310.307
8072,194588.06
8073,-55284.93
8074,32692.318
8075,-113055.93
8076,1047499.56
8077,279804.8
8078,147067.31
8079,-7976.431
8080,-29572.87
8081,195803.56
8082,-65738.43
8083,-48851.43
8084,-170540.31
8085,-107909.555
8086,295660.06
8087,
