Id,SeedId,复投次数,调温最大亮度值,稳定时间,引晶开始CCD亮度值,引晶稳定CCD亮度差值,引晶熔接CCD差值,引晶开始结束CCD差值,引晶后50长拉速,引晶平均拉速,放肩高度,放肩降温量,等径长度
6835,220901191-811,8,54.42,31,44.38,-1.78,-7.04,-0.71,5.13,4.59,125.09,6.78,1
6836,220901181-711,7,59.2,65,49.16,-1.72,-6.73,-0.43,4.76,3.98,125.41,6,1
6837,220901172-615,6,68.92,30,57.8,-3.04,-8.66,-0.73,5.08,4.84,130.33,6.05,1
6838,220901392-211,2,66.98,67,55.19,-4.01,-8.23,-0.43,4.69,4.25,127.04,6.53,1
6839,220901242-711,7,59.17,40,51.22,-1.72,-6.51,-0.37,4.44,4.57,136.54,7,1
6840,220901141-711,7,55.77,78,47.74,-2.66,-5.86,-0.63,4.84,5.01,124.81,6.33,1
6841,220901362-111,1,63.64,39,52.75,-3.52,-8.16,-0.96,5.63,5.16,125.79,6.47,1
6842,220901442-611,6,60.59,28,50.18,-3.01,-8.37,-0.66,5.25,5.18,125.49,7.1,1
6843,220901042-112,1,65.49,39,56.71,-3.52,-7.73,-1.71,5.17,4.68,140.82,8.53,1
6844,220901331-712,7,53.65,17,53.31,-3.72,-9,-0.9,5.31,4.65,124.66,6.6,1
6845,220900991-511,5,59.52,55,49.47,-2.54,-7.5,-0.12,5.24,4.7,123.93,6.81,1
6846,220901301-414,4,71.53,11,55.81,-3.32,-12.41,-0.91,5.56,5.35,145.08,10.77,1
6847,220901291-411,4,61.04,50,52.32,-2.28,-7.44,-0.25,5.26,4.58,125.13,7.5,1
6848,220901321-511,5,58.69,51,50.06,-2.16,-6.8,-0.59,5.3,4.92,128.42,6.59,1
6849,220901412-112,1,64.74,38,53.86,-2.78,-8.85,0.45,4.62,4.79,128.68,6.92,1
6850,220901122-112,1,57.96,41,48.76,-3.46,-7.08,-1.12,5.42,4.35,155.32,7.53,1
6851,220901082-411,4,61.86,56,52.41,-2.69,-9.01,-0.53,4.55,3.91,130.01,5.51,1
6852,220901091-711,7,59.83,35,51.6,-2.25,-7.13,0.37,4.28,4.66,127.13,6.52,1
6853,220901191-711,7,52.31,66,44.46,-1.69,-6.84,-0.32,5.54,4.81,131.26,7,1
6854,220901311-714,7,59.5,35,48.05,-5.09,-8.7,-1.22,6.48,5.93,136.65,8.14,1
6855,220901262-411,4,61.51,41,53.21,-1.99,-7.21,-0.47,5,4.97,124.1,6.52,1
6856,220901162-311,3,60,46,50.76,-2.7,-8.3,-0.72,5.01,4.55,122.29,6.86,1
6857,220901341-722,7,69.62,28,56.74,-4.51,-9.83,-1.13,4.82,4.62,123.37,6.8,1
6858,220900972-613,6,72.92,15,63.92,-3.12,-7.43,-1.2,4.96,4.89,123.15,6.8,1
6859,220901151-711,7,63.58,64,53.14,-2.45,-8.31,-0.77,5.04,4.84,128.5,6.5,1
6860,220901431-611,6,63.53,80,52.13,-3.47,-9.45,0.55,5.21,4.76,127.84,6.7,1
6861,220901201-723,7,64.65,23,53.02,-3.72,-8.64,-0.58,4.6,4.24,121.69,8.4,1
6862,220901132-412,4,62.5,34,51.72,-3.3,-7.79,-0.77,5.21,5.19,128.16,6.83,1
6863,220901031-613,6,84.02,30,70.21,-5.09,-10.59,-0.47,5.33,4.89,132.1,7.8,1
6864,220901002-211,2,64.25,41,51.57,-2.08,-8.61,-0.02,5.41,5.25,143.83,7.5,1
6865,220901112-512,5,57.04,44,46.91,-2.14,-6.92,-0.77,5.13,4.78,141.55,7.52,1
6866,220901353-211,2,52.98,56,44.89,-1.89,-5.78,-0.6,5.77,5.35,124.94,6.76,1
6867,220901012-511,5,73.18,52,60.78,-3.22,-9.59,-0.66,5.45,4.46,140.05,8.03,1
6868,220901231-613,6,56.91,19,47.38,-2.73,-7.02,-0.02,3.88,3.95,126.78,7.03,1
6869,220901103-611,6,56.12,35,47.9,-1.7,-6.51,0.04,5.14,4.53,129.15,6.51,1
6870,220901172-611,6,59.81,45,57.27,-2.95,-9.22,-0.11,4.45,4.4,126.81,6.01,1
6871,220901071-611,6,56.67,26,48.82,-1.94,-7.03,-0.17,5.45,4.88,127.88,6.5,1
6872,220901022-612,6,55.6,61,49.78,-2.8,-7.57,-0.35,5.59,4.88,140.05,7.5,1
6873,220901253-511,5,53.48,50,43.2,-2.18,-7.54,-0.37,4.91,4.62,125.79,6.72,1
6874,220901381-413,4,81.91,22,69.24,-3.08,-10.54,-2.19,5.24,5.08,142.13,9.5,1
